winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
RUS,SWE,R,R,1,25.4,24.3
RUS,ARG,R,R,5,26.383333333333336,27.7
RUS,SUI,R,L,1,26.6,26.5
CAN,SRB,L,R,2,23.75,32.5
RUS,USA,R,R,14,26.645,29.9
FIN,AUS,R,R,1,23.7,24.7
FRA,ITA,R,L,1,26.6,21.6
GRE,NED,R,R,2,24.75,28.0
GRE,CZE,R,R,2,24.75,23.0
ARG,ITA,L,R,1,32.7,27.7
CHN,CAN,R,L,2,24.9,24.0
NED,NED,R,L,1,26.6,26.9
GBR,GER,R,R,2,36.05,31.9
ESP,KOR,R,R,2,24.833333333333332,26.1
GBR,UKR,L,R,1,29.1,22.9
ESP,ARG,L,R,1,35.0,23.5
AUS,MEX,R,L,1,24.0,17.8
ITA,COL,R,R,3,24.53333333333333,27.0
USA,GBR,R,L,6,25.099999999999998,28.1
